genres_expanded_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,key,level_7,genres_albums
14344,3o0nkjyy6eZL5lZcEpvJec,spotify:track:3o0nkjyy6eZL5lZcEpvJec,King Of My City,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I,King Of My City:A Boogie Wit da Hoodie,0,melodic rap
14345,3o0nkjyy6eZL5lZcEpvJec,spotify:track:3o0nkjyy6eZL5lZcEpvJec,King Of My City,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I,King Of My City:A Boogie Wit da Hoodie,1,rap
14346,3o0nkjyy6eZL5lZcEpvJec,spotify:track:3o0nkjyy6eZL5lZcEpvJec,King Of My City,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I,King Of My City:A Boogie Wit da Hoodie,2,trap
14347,7DwcBgdzqhFJltEaV1XF81,spotify:track:7DwcBgdzqhFJltEaV1XF81,Cooped Up (with Roddy Ricch),246dkjvS1zLTtiykXe5h60,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,Cooped Up (with Roddy Ricch):Post Malone,0,dfw rap
14348,7DwcBgdzqhFJltEaV1XF81,spotify:track:7DwcBgdzqhFJltEaV1XF81,Cooped Up (with Roddy Ricch),246dkjvS1zLTtiykXe5h60,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,Cooped Up (with Roddy Ricch):Post Malone,1,melodic rap
14349,7DwcBgdzqhFJltEaV1XF81,spotify:track:7DwcBgdzqhFJltEaV1XF81,Cooped Up (with Roddy Ricch),246dkjvS1zLTtiykXe5h60,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,Cooped Up (with Roddy Ricch):Post Malone,2,rap
14350,1snNAXmmPXCn0dkF9DaPWw,spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,6nS5roXSAGhTGr34W6n7Et,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,You & Me - Flume Remix:Disclosure,0,edm
14351,1snNAXmmPXCn0dkF9DaPWw,spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,6nS5roXSAGhTGr34W6n7Et,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,You & Me - Flume Remix:Disclosure,1,house
14352,1snNAXmmPXCn0dkF9DaPWw,spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,6nS5roXSAGhTGr34W6n7Et,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,You & Me - Flume Remix:Disclosure,2,pop
14353,1snNAXmmPXCn0dkF9DaPWw,spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,6nS5roXSAGhTGr34W6n7Et,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,You & Me - Flume Remix:Disclosure,3,uk dance
14354,2Rv7mglsywJ8EC30YMNw1v,spotify:track:2Rv7mglsywJ8EC30YMNw1v,This Is My Home,5FbBZ9ZLIoVdgbbnGmsKNk,Clem Leek,spotify:artist:5FbBZ9ZLIoVdgbbnGmsKNk,This Is My Home:Clem Leek,0,compositional ambient
14355,2Rv7mglsywJ8EC30YMNw1v,spotify:track:2Rv7mglsywJ8EC30YMNw1v,This Is My Home,5FbBZ9ZLIoVdgbbnGmsKNk,Clem Leek,spotify:artist:5FbBZ9ZLIoVdgbbnGmsKNk,This Is My Home:Clem Leek,1,neo-classical
