podcast_id,episode,podcast,key
478,27C-King Arthur: The Errant Knight,Myths and Legends,Myths and Legends27C-King Arthur: The Errant Knight
479,Your Weirdest Dates,Modern Love,Modern LoveYour Weirdest Dates
480,63-Puss in Boots: These Boots,Myths and Legends,Myths and Legends63-Puss in Boots: These Boots
481,Six Easy Steps to Nuclear War,"Today, Explained","Today, ExplainedSix Easy Steps to Nuclear War"
482,Calm Ocean Sounds For Sleep |  Ocean Waves To Help Deep Sleep,Sleep Podcast by Slow | Relaxing Sleep Sounds To Help You Sleep | Nature Sounds For Sleep | ASMR,Sleep Podcast by Slow | Relaxing Sleep Sounds To Help You Sleep | Nature Sounds For Sleep | ASMRCalm Ocean Sounds For Sleep |  Ocean Waves To Help Deep Sleep
483,127-Finnish Mythology: The Boy who Lived,Myths and Legends,Myths and Legends127-Finnish Mythology: The Boy who Lived
486,A 'Modern Love' Audio Valentine,Modern Love,Modern LoveA 'Modern Love' Audio Valentine
488,89-Maui: The Mauiest Maui,Myths and Legends,Myths and Legends89-Maui: The Mauiest Maui
489,73-Japanese Folklore: I will find you,Myths and Legends,Myths and Legends73-Japanese Folklore: I will find you
490,35-Beauty and the Beast: Prisoners,Myths and Legends,Myths and Legends35-Beauty and the Beast: Prisoners
491,108-Tom Thumb: Thumbs Up,Myths and Legends,Myths and Legends108-Tom Thumb: Thumbs Up
492,122-Indian Folklore: Let it Be,Myths and Legends,Myths and Legends122-Indian Folklore: Let it Be
493,95A-Irish legends: Wanted,Myths and Legends,Myths and Legends95A-Irish legends: Wanted
496,177A-Trojan War: Rage,Myths and Legends,Myths and Legends177A-Trojan War: Rage
497,6C-King Arthur: How I Met Your Mother,Myths and Legends,Myths and Legends6C-King Arthur: How I Met Your Mother
499,The Wait | Modern Love Bonus Episode,Modern Love,Modern LoveThe Wait | Modern Love Bonus Episode
501,135B-Tristan and Isolde: Secrets,Myths and Legends,Myths and Legends135B-Tristan and Isolde: Secrets
503,05. Park Row,Batman Unburied,Batman Unburied05. Park Row
506,The rise of boring architecture -- and the case for radically human buildings | Thomas Heatherwick,TED Talks Daily,TED Talks DailyThe rise of boring architecture -- and the case for radically human buildings | Thomas Heatherwick
507,105A-Reynard: Fox on the Run,Myths and Legends,Myths and Legends105A-Reynard: Fox on the Run
509,114B-Indian Stories: Heavy,Myths and Legends,Myths and Legends114B-Indian Stories: Heavy
510,A Faithful Leap | With Amber Tamblyn,Modern Love,Modern LoveA Faithful Leap | With Amber Tamblyn
511,135A-Tristan and Isolde: Matchmaker,Myths and Legends,Myths and Legends135A-Tristan and Isolde: Matchmaker
513,39-Odin: In the Land of the Blind,Myths and Legends,Myths and Legends39-Odin: In the Land of the Blind
516,177D-Trojan War: Horsin' Around,Myths and Legends,Myths and Legends177D-Trojan War: Horsin' Around
517,68A-Morgan Le Fay: Get Thee to a Nunnery,Myths and Legends,Myths and Legends68A-Morgan Le Fay: Get Thee to a Nunnery
518,What Wikipedia teaches us about balancing truth and beliefs | Katherine Maher,TED Talks Daily,TED Talks DailyWhat Wikipedia teaches us about balancing truth and beliefs | Katherine Maher
521,140-La Llorona: No Way Out,Myths and Legends,Myths and Legends140-La Llorona: No Way Out
522,60B-Beowulf: The Depths,Myths and Legends,Myths and Legends60B-Beowulf: The Depths
524,27A-King Arthur: The Violence Inherent in the System,Myths and Legends,Myths and Legends27A-King Arthur: The Violence Inherent in the System
525,59-Greek Myths: The Violence of Our Ancestors,Myths and Legends,Myths and Legends59-Greek Myths: The Violence of Our Ancestors
526,Friends Without Benefits | With Taissa Farmiga,Modern Love,Modern LoveFriends Without Benefits | With Taissa Farmiga
527,32-Tricksters: Wager,Myths and Legends,Myths and Legends32-Tricksters: Wager
528,171-Indian Folklore: Love and Marriage,Myths and Legends,Myths and Legends171-Indian Folklore: Love and Marriage
529,112B-Pinocchio: Nosey,Myths and Legends,Myths and Legends112B-Pinocchio: Nosey
530,46D-Jason and the Argonauts: Scorned,Myths and Legends,Myths and Legends46D-Jason and the Argonauts: Scorned
531,17C-Theseus: I Volunteer as Tribute,Myths and Legends,Myths and Legends17C-Theseus: I Volunteer as Tribute
533,3C-Vikings: Renewed shall be Blade that was Broken,Myths and Legends,Myths and Legends3C-Vikings: Renewed shall be Blade that was Broken
534,126-Wendigo: Hunger,Myths and Legends,Myths and Legends126-Wendigo: Hunger
536,137-Italian folklore: Tailor-made,Myths and Legends,Myths and Legends137-Italian folklore: Tailor-made
537,85B-Slavic Folklore: Hold on to Your Hat,Myths and Legends,Myths and Legends85B-Slavic Folklore: Hold on to Your Hat
538,07. May Day,Batman Unburied,Batman Unburied07. May Day
