id,track_uri,track_name,artist_id,artist_name,artist_uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key
3jJ9djWzDlQnqDd7vTZs9K,spotify:track:3jJ9djWzDlQnqDd7vTZs9K,"Mon Soleil - from ""Emily in Paris"" Soundtrack",59QZR94fPLVcOx2sWEk7xn,Ashley Park,spotify:artist:59QZR94fPLVcOx2sWEk7xn,0.434,0.643,0.477,0.0,0.0843,-8.261,0.0536,93.003,0.14,"Mon Soleil - from ""Emily in Paris"" Soundtrack:Ashley Park"
1IJ5jZq2Qge2ZjBvw9ewiS,spotify:track:1IJ5jZq2Qge2ZjBvw9ewiS,Down,3daREed4KlrtvohgJjSkJr,Hashir,spotify:artist:3daREed4KlrtvohgJjSkJr,0.219,0.493,0.521,0.71,0.0872,-12.464,0.375,68.699,0.273,Down:Hashir
22JTVFndN2JlpAZ12TdaEP,spotify:track:22JTVFndN2JlpAZ12TdaEP,If Your Girl Only Knew,2puv5ixqpJlgnHDqgQ4N8C,Sandëro,spotify:artist:2puv5ixqpJlgnHDqgQ4N8C,0.181,0.772,0.744,0.000333,0.309,-9.535,0.271,125.904,0.301,If Your Girl Only Knew:Sandëro
2u0CelO5c81XS7z3dGpHbS,spotify:track:2u0CelO5c81XS7z3dGpHbS,The Beach,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,0.131,0.245,0.64,8.11e-06,0.0766,-7.426,0.0608,135.739,0.105,The Beach:The Neighbourhood
2Ku7Iz5iUtukULZ229KUYx,spotify:track:2Ku7Iz5iUtukULZ229KUYx,TO THE MOON - Gunna Remix,1Z25ZlGHqqlr3o1UGQOfNn,Jnr Choi,spotify:artist:1Z25ZlGHqqlr3o1UGQOfNn,0.264,0.736,0.631,0.00138,0.109,-8.248,0.324,144.087,0.461,TO THE MOON - Gunna Remix:Jnr Choi
5reQI13tWWYDLMrGcUF4Mk,spotify:track:5reQI13tWWYDLMrGcUF4Mk,Nuestra Canción,36KsCCwgI0Dep97yVJWmkK,Monsieur Periné,spotify:artist:36KsCCwgI0Dep97yVJWmkK,0.426,0.906,0.731,4.55e-06,0.0853,-7.021,0.0977,106.995,0.794,Nuestra Canción:Monsieur Periné
7HKxTNVlkHsfMLhigmhC0I,spotify:track:7HKxTNVlkHsfMLhigmhC0I,Call Me,4tpUmLEVLCGFr93o8hFFIB,Blondie,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,0.000646,0.554,0.833,0.0025,0.0737,-6.667,0.0347,142.673,0.773,Call Me:Blondie
4l08LQca6YOwIgl8qexkfI,spotify:track:4l08LQca6YOwIgl8qexkfI,Aa Meda Dhola,7wajplXcChUBnjI17FhnoV,Syed Altaf Shah Kazmi,spotify:artist:7wajplXcChUBnjI17FhnoV,0.974,0.391,0.405,0.0,0.491,-4.577,0.0303,85.291,0.331,Aa Meda Dhola:Syed Altaf Shah Kazmi
7DfFc7a6Rwfi3YQMRbDMau,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,0.409,0.721,0.339,0.00153,0.0973,-11.195,0.0532,129.83,0.2,Thinkin Bout You:Frank Ocean
7sLf03Nt7wYhIfzCVi3RNZ,spotify:track:7sLf03Nt7wYhIfzCVi3RNZ,Red Light,0mbyBN8EUJwwqZxkyJRUlB,Somee Chohan,spotify:artist:0mbyBN8EUJwwqZxkyJRUlB,0.849,0.671,0.442,0.0,0.106,-12.565,0.0735,99.872,0.123,Red Light:Somee Chohan
66FhJtU1CplZULCDxSuXN0,spotify:track:66FhJtU1CplZULCDxSuXN0,Sajania,3cKNppGLfcxdt9CtoHEZmQ,Ali Zafar,spotify:artist:3cKNppGLfcxdt9CtoHEZmQ,0.00595,0.813,0.579,0.000139,0.247,-6.926,0.0769,95.0,0.866,Sajania:Ali Zafar
74loibzxXRL875X20kenvk,spotify:track:74loibzxXRL875X20kenvk,Poland,6icQOAFXDZKsumw3YXyusw,Lil Yachty,spotify:artist:6icQOAFXDZKsumw3YXyusw,0.141,0.695,0.555,0.826,0.11,-8.5,0.0509,150.024,0.26,Poland:Lil Yachty
7qhLm7FPhf7OjuSQoezTgC,spotify:track:7qhLm7FPhf7OjuSQoezTgC,Backtrack,7E2aQQjErJocovYFjYLzWU,Emei,spotify:artist:7E2aQQjErJocovYFjYLzWU,0.0101,0.598,0.584,0.0,0.195,-4.224,0.0553,159.956,0.619,Backtrack:Emei
6rSUrh8ErKSKfbH0t0IzCM,spotify:track:6rSUrh8ErKSKfbH0t0IzCM,Moment,63XBtGSEZINSyXylZxEUbv,Victoria Monét,spotify:artist:63XBtGSEZINSyXylZxEUbv,0.637,0.571,0.431,0.00524,0.122,-8.889,0.0547,130.111,0.361,Moment:Victoria Monét
