tracks_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,album_id,album_name,album_uri,key
58,5LYMamLv12UPbemOaTPyeV,spotify:track:5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant,6KImCVD70vtIoJWnq6nGn3,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,5r36AJ6VOJtp00oxSkBZ5h,Harry's House,spotify:album:5r36AJ6VOJtp00oxSkBZ5h,Music For a Sushi Restaurant:Harry Styles
59,6kPJZM97LwdG9QIsT7khp6,spotify:track:6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),6MDME20pz9RveH9rEXvrOM,Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM,1q7a5wZeti0neU2jDn8Dz3,Solo (feat. Demi Lovato),spotify:album:1q7a5wZeti0neU2jDn8Dz3,Solo (feat. Demi Lovato):Clean Bandit
60,273uCXd7NPrInaiNqtkOrA,spotify:track:273uCXd7NPrInaiNqtkOrA,Tarzan Boy,6czfQ8MjHVmvJKA4LAnviG,Baltimora,spotify:artist:6czfQ8MjHVmvJKA4LAnviG,2AclHzFubT46QrjWFSfkk9,Living In The Background,spotify:album:2AclHzFubT46QrjWFSfkk9,Tarzan Boy:Baltimora
61,1ZVzr825BOBAyGZoQqCSRg,spotify:track:1ZVzr825BOBAyGZoQqCSRg,Dance Away The Pain,26K6dJKDXGJc5TRt0sOD3q,Number One Popstar,spotify:artist:26K6dJKDXGJc5TRt0sOD3q,21WomUkBD1tJBCAH0Ow7in,Dance Away The Pain,spotify:album:21WomUkBD1tJBCAH0Ow7in,Dance Away The Pain:Number One Popstar
62,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0TnOYISbd1XYRBk9myaseg,Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg,4rG0MhkU6UojACJxkMHIXB,Planet Pit (Deluxe Version),spotify:album:4rG0MhkU6UojACJxkMHIXB,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer):Pitbull"
63,4JnX8tY9me7jHqDwgifhwU,spotify:track:4JnX8tY9me7jHqDwgifhwU,RIDING,3hOdow4ZPmrby7Q1wfPLEy,Aries,spotify:artist:3hOdow4ZPmrby7Q1wfPLEy,1eLp5qe0nJkOb3rzqnbme0,"BELIEVE IN ME, WHO BELIEVES IN YOU",spotify:album:1eLp5qe0nJkOb3rzqnbme0,RIDING:Aries
64,6zeeWid2sgw4lap2jV61PZ,spotify:track:6zeeWid2sgw4lap2jV61PZ,Better,6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,2Qxc2NJ7yPKVFRWi3llRr2,Suncity,spotify:album:2Qxc2NJ7yPKVFRWi3llRr2,Better:Khalid
65,4eQKDjhoCoQ8ACKvls8sfV,spotify:track:4eQKDjhoCoQ8ACKvls8sfV,HOLD ME TIGHT OR DON’T - Recorded at Spotify Studios NYC,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,7ll3Cf5KaoLl6toqeSlClH,Spotify Singles,spotify:album:7ll3Cf5KaoLl6toqeSlClH,HOLD ME TIGHT OR DON’T - Recorded at Spotify Studios NYC:Fall Out Boy
66,3GBApU0NuzH4hKZq4NOSdA,spotify:track:3GBApU0NuzH4hKZq4NOSdA,What You Know,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,spotify:artist:536BYVgOnRky0xjsPT96zl,0wNjC8d3ve2L2yaomEWUsa,Tourist History,spotify:album:0wNjC8d3ve2L2yaomEWUsa,What You Know:Two Door Cinema Club
67,7bpekJEVJcOntT9ohNh2Kz,spotify:track:7bpekJEVJcOntT9ohNh2Kz,Do I Love You Because You’re Beautiful?,47NluEnhJda2gsnjuvcoob,Santino Fontana,spotify:artist:47NluEnhJda2gsnjuvcoob,20bfhNnjgh82rleWpLWqe5,Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),spotify:album:20bfhNnjgh82rleWpLWqe5,Do I Love You Because You’re Beautiful?:Santino Fontana
