library_track_id,artist,album,track,uri
551,Ankur Tewari,Dil Beparvah,"Dil Beparvah - The Dewarists, Season 5",spotify:track:4kXkT9HF9ZfDjuv3LIKcwJ
552,Tajdar Junaid,What Colour Is Your Raindrop,Ekta Golpo (feat. Satyaki Banerjee & Anusheh Anadil),spotify:track:1tmmhr7UpyHDNq4e4tVJGb
553,Manna Dey,Shree 420,Pyar Hua Iqrar Hua,spotify:track:3B3MQlP4NPAxE2HEE2sEsS
554,Ritt Momney,Put Your Records On,Put Your Records On,spotify:track:6AGOKlMZWLCaEJGnaROtF9
555,Call,Dhoom,Dharkay Jiya,spotify:track:3csQ8JVWNQ3qrt1OswiPgt
556,Jax Jones,Tequila,Tequila - Jax Jones & Martin Solveig Present Europa,spotify:track:39WnpwsWrLXpxafV5FwYVh
557,Faris Shafi,Introduction,Introduction,spotify:track:62NkzAFZKNOe6arO1lSFm0
558,Glass Animals,Heat Waves,Heat Waves - Slowed,spotify:track:1K2RnVhm3eauKnA8PAcPu1
559,Ashley Park,Emily in Paris (Soundtrack from the Netflix Series),"Mon Soleil - from ""Emily in Paris"" Soundtrack",spotify:track:1RvUIoskMQiGJKKnJJ96WB
560,Anuv Jain,Baarishein,Baarishein,spotify:track:5iCY0TXNImK4hyKfcplQsg
561,Glass Animals,Dreamland,Waterfalls Coming Out Your Mouth,spotify:track:6rg8jKMFjOcjSVDSCH9SHK
562,Ritviz,Udd Gaye,Udd Gaye - Bacardi House Party Sessions,spotify:track:6wZJsut8fjiWiMPaccRAOX
563,Regard,Secrets,Secrets - MOTi Remix,spotify:track:2vX1vE1jwuqq29xonWIzvE
564,Hozier,"Wasteland, Baby!",Shrike,spotify:track:083PU4XnYAOMAGVruma3vb
565,Foster The People,Sacred Hearts Club,Sit Next to Me,spotify:track:4BdGO1CaObRD4La9l5Zanz
566,Ritviz,Mimmi,Aaj Na,spotify:track:322TxW77VZdX9gHynK5Xue
567,Gloria Gaynor,New In Town,I WILL SURVIVE,spotify:track:0x4GSz5C4XZDkNhFswGboC
568,renforshort,"fuck, i luv my friends","fuck, i luv my friends",spotify:track:4hk4plGoAmg3naYTq8EUul
569,Imanbek,Goodbye,Goodbye,spotify:track:4crczEC1PpoD8TsDsmoWNI
570,Meek Mill,Dreams Worth More Than Money,R.I.C.O. (feat. Drake),spotify:track:0Y0TOsE1q11qgbi7c5WZsG
571,Rupert Holmes,Partners In Crime,Escape (The Pina Colada Song),spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ
572,Hozier,Hozier (Expanded Edition),Angel of Small Death and the Codeine Scene,spotify:track:6JmSfynzr6E0QllQZNEXEb
573,Natasha Humera Ejaz,Abhi Abhi,Abhi Abhi,spotify:track:1ecjmjCHS8p1tMJHX10X5B
574,Dayglow,Fuzzybrain,Can I Call You Tonight?,spotify:track:61OJxhoY3Ix50rYVKo8zRK
575,Riz Ahmed,Once Kings,Once Kings,spotify:track:7xtVisRXsVnGjNkX4PiEcW
576,Chelsea Cutler,Your Shirt,Your Shirt,spotify:track:5vtyFzfLkCSJvXEZFjQAa1
577,NF,Therapy Session,Grindin',spotify:track:3m6HMeFX6GIlGPMBcLEN6t
578,Louis Armstrong,"Stranger Things: Soundtrack from the Netflix Series, Season 4",Dream a Little Dream of Me,spotify:track:1LqHJtbJ7TLxer59vF25Hc
