id,track_uri,track_name,artist_id,artist_name,artist_uri,genres_albums,key
7lg0XrvUawyMBRv13zwALu,spotify:track:7lg0XrvUawyMBRv13zwALu,Under The Knife,6Wr3hh341P84m3EI8qdn9O,Rise Against,spotify:artist:6Wr3hh341P84m3EI8qdn9O,"['chicago hardcore', 'chicago punk', 'hardcore punk', 'punk']",Under The Knife:Rise Against
4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),4kYSro6naA4h99UJvo89HB,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB,"['dance pop', 'pop', 'rap', 'viral rap']",WAP (feat. Megan Thee Stallion):Cardi B
3TrGBdNhvXVjWCQgfrtWuc,spotify:track:3TrGBdNhvXVjWCQgfrtWuc,Sunrise ~ The Breakfast Song (Vocals by Aoi Teshima),0pWDwAU3grBQc9GAIQOP2N,Satoshi Takebe,spotify:artist:0pWDwAU3grBQc9GAIQOP2N,['anime score'],Sunrise ~ The Breakfast Song (Vocals by Aoi Teshima):Satoshi Takebe
6tKky3l379dnGe7F85ztrJ,spotify:track:6tKky3l379dnGe7F85ztrJ,The Bird and the Worm,55VydwMyCuGcavwPuhutPL,The Used,spotify:artist:55VydwMyCuGcavwPuhutPL,"['post-hardcore', 'screamo']",The Bird and the Worm:The Used
7ep7SI6MdEo81to9GLouIw,spotify:track:7ep7SI6MdEo81to9GLouIw,Times Won't Change Me,6hl5k4gLl1p3sjhHcb57t2,Circa Waves,spotify:artist:6hl5k4gLl1p3sjhHcb57t2,"['britpop revival', 'english indie rock', 'indie rock', 'indie surf', 'liverpool indie', 'modern alternative rock', 'modern rock', 'rock']",Times Won't Change Me:Circa Waves
2Xaw1RrXP3mdooKWysuRJ8,spotify:track:2Xaw1RrXP3mdooKWysuRJ8,Monster,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",Monster:Imagine Dragons
66N0XT7yr2VuFxrMc8piUy,spotify:track:66N0XT7yr2VuFxrMc8piUy,Higher Ground,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",Higher Ground:Imagine Dragons
1iQDltZqI7BXnHrFy4Qo1k,spotify:track:1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),3KwmxIhSe9UTSEF37kwngR,SHAED,spotify:artist:3KwmxIhSe9UTSEF37kwngR,"['electropop', 'pop']",Trampoline (with ZAYN):SHAED
5VfEuwErhx6X4eaPbyBfyu,spotify:track:5VfEuwErhx6X4eaPbyBfyu,Intro,3iOvXCl6edW5Um0fXEBRXy,The xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,"['downtempo', 'dream pop', 'indietronica']",Intro:The xx
4j5gXarJqoiwh4ZIAqZcmh,spotify:track:4j5gXarJqoiwh4ZIAqZcmh,How Do You Love Somebody,2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,spotify:artist:2jnIB6XdLvnJUeNTy5A0J2,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']",How Do You Love Somebody:Why Don't We
,"Live From New York | With Michaela Watkins, Amirah Vann and Lauren Molina",Modern Love,,,,,
4kcuzPfVaPlElWRv9jNGHi,spotify:track:4kcuzPfVaPlElWRv9jNGHi,Get Down,4iMO20EPodreIaEl8qW66y,Still Woozy,spotify:artist:4iMO20EPodreIaEl8qW66y,"['bedroom pop', 'oakland indie']",Get Down:Still Woozy
