artist,album,track,uri
salem ilese,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker),spotify:track:7xNCacksfUkYXsXuSW4vNF
Invadable Harmony,The Dream Weaver,Blinding Lights,spotify:track:5c4jAWZ2Fzd5baZyuYURY4
JVKE,Upside Down,Upside Down,spotify:track:614OkajfRPH8V0ugNQnduP
Justin Bieber,Changes,All Around Me,spotify:track:5Py8zRKGkZvgHniVVtvNCN
Glass Animals,Dreamland,Heat Waves,spotify:track:1sC2aPRap0IAPocPJR1Wbr
The Local Train,Vaaqif,Mizaaj,spotify:track:0PivOoKM1sECNTsZ7K6N3h
Bishop Briggs,Church Of Scars,River,spotify:track:3mRLHiSHYtC8Hk7bzZdUs1
AnnenMayKantereit,Tom's Diner,Tom's Diner,spotify:track:0oA9wBGDY4uyILLg4GymWP
Glass Animals,Dreamland,Domestic Bliss,spotify:track:2ppmG1g7AD9xxphHmhjg8N
Shamoon Ismail,Scars & Screws,Faasla,spotify:track:3TB0OtQMzrPoNcmXfUMVzC
Adele,21,Rolling in the Deep,spotify:track:1eq1wUnLVLg4pdEfx9kajC
blackbear,i feel bad,i feel bad,spotify:track:1woVRb6gryP7hsMvBkiIzj
Asha Bhosle,Gharana (Original Motion Picture Soundtrack),Mere Banne Ki Baat Na Poochho,spotify:track:1eMYQ5Ai14KLCNaWL2lveb
Hippie Sabotage,Providence,Devil Eyes,spotify:track:7MiZjKawmXTsTNePyTfPyL
Drake,"Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage),spotify:track:3F5CgOj3wFlRv51JsHbxhe
Taylor Swift,folklore,cardigan,spotify:track:4R2kfaDFhslZEMJqAFNpdd
Taylor Swift,evermore,willow,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D
GASHI,GASHI,Roses,spotify:track:6qc5EODnUU7XX4zn8B4c89
Swedish House Mafia,Lifetime,Lifetime (with Ty Dolla $ign & 070 Shake),spotify:track:3zQpGaH50HeMjxurMZVF6q
Florence + The Machine,MTV Presents Unplugged: Florence + The Machine,"Shake It Out - MTV Unplugged, 2012",spotify:track:5cboXDVjQ26ajNceiv8i45
Jeff Russo,Altered Carbon (Original Series Soundtrack) [Deluxe],The Next Screen (Bonus),spotify:track:3l4zwQMqSOx0a6HbIich8X
Noah Cyrus,July (feat. Leon Bridges),July (feat. Leon Bridges),spotify:track:3V0nnQhqvbE3JmiDdnzQFQ
Simply Three,Wildest Dreams,Wildest Dreams,spotify:track:5k7vgX9oWJzVZrMqooTHy7
Riz Ahmed,The Long Goodbye,Ammi: Come Home,spotify:track:6xahNecP64iCaXEeIo48VW
Fareed Ayaz Abu Muhammad Qawwal,"Mehfil E Samaa, Vol. 1",Meray Banay Ki Baat,spotify:track:4aHsGpwytNOnmvJoTD6yuD
Niall Horan,Nice To Meet Ya,Nice To Meet Ya,spotify:track:3cphb8kdsjElYR7r5icK3H
Meek Mill,Championships,Going Bad (feat. Drake),spotify:track:2IRZnDFmlqMuOrYOLnZZyc
blackbear,deadroses,4u,spotify:track:1XcXhu1X0xBFMDFyq0b7Ue
¿Téo?,Sol,What's On Ur Mind,spotify:track:1bVc0bHh3nrsaWtWZPFMqY
Nusrat Fateh Ali Khan,Immortal Collection of Nusrat,Sanu Ek Pal Chain Na Aawe,spotify:track:3Yfpl9blCcKLU7uULSQWJU
Drake,Pop Style,Pop Style,spotify:track:23NWj2izXAJ4yL6Nah73wf
Zohaib Kazi,Coke Studio Season 11,Hum Dekhenge,spotify:track:4rP97uZJ2DdqIGPIvVyeiO
Raleigh Ritchie,Time in a Tree,Time in a Tree,spotify:track:69n5plRIWxMH7diq0UYFPg
Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,spotify:track:58HvfVOeJY7lUuCqF0m3ly
Leonardo Reyes,Hits,Blinding Lights,spotify:track:763nb3EOeLEeJsELNuel1b
Glass Animals,Dreamland,Your Love (Déjà Vu),spotify:track:3NAGZe9GWtE8Nvfj6huEzE
Jaymes Young,What Is Love,What Is Love,spotify:track:6CIff9z94pPApi2i3k2lq1
Hadiqa Kiani,"Wajd, Vol. 1",Chaap Tilak,spotify:track:5CfRvzHJ79AYTudLzMcTlp
Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),spotify:track:62aP9fBQKYKxi7PDXwcUAS
Paravi,Cloud 9,Cloud 9,spotify:track:0Qj4YyHTtV01Fvfl2fibea
DJ Khaled,WE GOING CRAZY (feat. H.E.R. & Migos),WE GOING CRAZY (feat. H.E.R. & Migos),spotify:track:39TaDkZ8WUtVLgvVjGSdPd
NF,CLOUDS (THE MIXTAPE),CLOUDS,spotify:track:1mvI5pGoh84IiFSbWxEkGH
Frank Sinatra,The Classic Christmas Album,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),spotify:track:0SUKNXEqZnRw7g0NO139FM
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",all the good girls go to hell,spotify:track:6IRdLKIyS4p7XNiP8r6rsx
DRAM,Gahdamn!,Caretaker (feat. SZA),spotify:track:4XQQovRSltOGWevTCgacXY
Nusrat Fateh Ali Khan,Ustad Nusrat Fateh Ali Khan,Tujh Mein Hai Rab Dikhta - Complete Original Recording,spotify:track:0j4cCrKkMxuN6gBpGc4N2g
The Weeknd,In Your Eyes,In Your Eyes (with Doja Cat) - Remix,spotify:track:0UnTaVkntyh3vqvLEvbpQx
Clairo,diary 001,Hello?,spotify:track:7qwt4xUIqQWCu1DJf96g2k
Watson,All Falls Down,All Falls Down,spotify:track:2ZQAI1UeXtUWMUX2hl1hYb
Maria Mena,Cause and Effect,I Was Made for Loving You,spotify:track:4KRTc3Gp9LLfMktZ7Xe7U1
Glass Animals,Dreamland,Your Love (Déjà Vu),spotify:track:47lpupacjEhBmjgGj1dU9a
Eminem,Relapse [Deluxe],Bagpipes From Baghdad,spotify:track:5SyedOgBgBwH41jSHfwBy9
