artist,album,track,uri
LUNA AURA,HONEY,HONEY,spotify:track:7AVf3MdvwHM5CdOdquzu9c
Weezer,Weezer (White Album),Thank God for Girls,spotify:track:5uywMR3hTeVPoWaFDSliJb
Hasan Raheem,SHE,Pukaar,spotify:track:0R6PVr0THSFcyEqlNTJ9Bp
Travie McCoy,Golden (feat. Sia),Golden (feat. Sia),spotify:track:0HZWWaKieQ9ZETkTEUVTH2
Russ,CIVIL WAR,CIVIL WAR - Bonus,spotify:track:5tmu5pAFHkUSl8Fo8ncyA4
Drake,Signs,Signs,spotify:track:6Na5uKk5SsqZimk0hAWo8y
Cashmere Cat,9,Trust Nobody (feat. Selena Gomez & Tory Lanez),spotify:track:5qYp1Wf3gh0lGWdIS5lIrX
MEDUZA,Tell It To My Heart,Tell It To My Heart,spotify:track:46nvQpUDsxpS08UTFOeKTA
Rozeo,Bum Twirl,Bum Twirl,spotify:track:1B559YkhUtsMNWXlFsDuFJ
Journey,Separate Ways (Worlds Apart),Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,spotify:track:0muK9BAzu2TJXQgWPsEj6e
Arctic Monkeys,Leave Before The Lights Come On,Baby I'm Yours,spotify:track:0SzvmWfOhoxZVGrmvb56YL
Calvin Harris,Funk Wav Bounces Vol.1,Rollin (feat. Future & Khalid),spotify:track:0lMbuWUpfTWhEmOKxppEau
Post Malone,Hollywood's Bleeding,Hollywood's Bleeding,spotify:track:01iuzK2ziYAVE2n9aSXbWp
Sahara Beck,You Could Be Happy,C'mon Man You're Dead,spotify:track:1uVUUdElxrXmFDqasrAUNo
Hanumankind,Genghis,Genghis,spotify:track:4byM7YIkw5KQryitRGPEYN
Kina Grannis,Somebody Loved,Somebody Loved,spotify:track:1wflx5YklLYToaIbXkrZSq
DVBBS,Tinted Eyes (feat. blackbear & 24kGoldn),Tinted Eyes (feat. blackbear & 24kGoldn),spotify:track:68UW3plyDDNg1dkNIZRezJ
SYML,Where's My Love,Where's My Love - Piano Solo,spotify:track:59lUvVUixyLmC3u9kSIU1Y
Circa Waves,What's It Like Over There?,Times Won't Change Me,spotify:track:7ep7SI6MdEo81to9GLouIw
Talal Qureshi,PAISA,PAISA,spotify:track:5vwe8vW5fEJgymhjfol1cu
Coldplay,Music Of The Spheres,Higher Power,spotify:track:65OR4ywy8Cgs3FDHK82Idl
Piano Dreamers,Piano Love,Sweater Weather,spotify:track:64p1WbwrWkozsuzfjhJROy
DJ Khaled,POPSTAR (feat. Drake),POPSTAR (feat. Drake),spotify:track:6EDO9iiTtwNv6waLwa1UUq
Sikandar Ka Mandar,Sikandar Ka Mandar,Jo Bhi,spotify:track:13835EhqCY46GhEIbPFfyD
Rozeo,Barkat,Barkat,spotify:track:2gUKyAKu4fvEcKboCruSEK
Amit Trivedi,Ghodey Pe Sawaar,"Ghodey Pe Sawaar (From ""Qala"")",spotify:track:1a8w8nlIyIhE2W1HIayKnl
Kurt Hugo Schneider,Kurt & Company Vol 2,Sweater Weather,spotify:track:0kn9QwZW8Ow9eTuZgxVEz8
Bright Eyes,Persona Non Grata,Persona Non Grata,spotify:track:0itutKZrGEzQtFWJp4xoUK
Faris Shafi,Molotov,Molotov,spotify:track:0U6cC3jgiLjbBo4vomr3HI
Tesher,Jalebi Baby,Jalebi Baby,spotify:track:36jCLvkQD1ro4spuJtF84m
Drake,More Life,Passionfruit,spotify:track:5mCPDVBb16L4XQwDdbRUpz
Journey,Frontiers,Separate Ways (Worlds Apart),spotify:track:4ECNtOnqzxutZkXP4TE3n3
Jax Jones,Snacks,All Day And Night - Jax Jones & Martin Solveig Present Europa,spotify:track:11VJlLCmJTH67Jv0TBVzxH
Arizona Zervas,ROXANNE,ROXANNE,spotify:track:696DnlkuDOXcMAnKlTgXXK
Riz Ahmed,The Long Goodbye,Deal With It,spotify:track:3l9KybL4tK1jAP7u3UkWwe
Nusrat Fateh Ali Khan,Tere Bin Nahin Lagda Dil Mera - Best Hits,Tere Bin Nahin Lagda,spotify:track:64QRJvOEsryufhCkeZGAPf
Ed Sheeran,I Don't Want Your Money (feat. H.E.R.),I Don't Want Your Money (feat. H.E.R.),spotify:track:69xcWjYE6YYA638ThAHA6M
Bishop Briggs,Bishop Briggs,Dead Man's Arms,spotify:track:318CwhlHyuxroBtuoeh3oR
Iggy Pop,Red Right Hand,Red Right Hand,spotify:track:5WBhTqcyiSEOoBCBcj9e22
Bazzi,Young & Alive,Young & Alive,spotify:track:5RsKelNxucrDxgMbZ3vd3W
Deb Never,Sorry,Sorry,spotify:track:7ufvTDIjfqAhYZLXUX0lrF
Lana Del Rey,Norman Fucking Rockwell!,Fuck it I love you,spotify:track:7MtVPRGtZl6rPjMfLoI3Lh
Arctic Monkeys,Live at the Royal Albert Hall,Do I Wanna Know? - Live,spotify:track:5zDoSmh06F7kjXGIHFhQzh
omer inayat,Waali,Tenu Le Ke,spotify:track:3IHLJDSDpu2JeyQqIWsCig
Otnicka,Babel,Babel,spotify:track:0ZnwzjB40zdTZrEwPvaRqG
Shamoon Ismail,Cookie,Khayal,spotify:track:2AHlAZJS2tTnhDqqlIm6O3
Sia,The Hamilton Mixtape,Satisfied (feat. Miguel & Queen Latifah),spotify:track:3VyxvhpCUNVTvPO2B46lsa
Khalid,Know Your Worth,Know Your Worth,spotify:track:0TrPqhAMoaKUFLR7iYDokf
Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,Dum Mast Qalander Mast,spotify:track:6kNPTNEwxwCCqkP4JbkWLK
gianni & kyle,do u even miss me at all?,do u even miss me at all?,spotify:track:1AHf5FSofKcUw8tyKkccKF
Yashraj,Dhundhala,Dhundhala,spotify:track:6PSGzXHJaQogb2G8m8gGZZ
Ankur Tewari,Dil Beparvah,"Dil Beparvah - The Dewarists, Season 5",spotify:track:4kXkT9HF9ZfDjuv3LIKcwJ
Tajdar Junaid,What Colour Is Your Raindrop,Ekta Golpo (feat. Satyaki Banerjee & Anusheh Anadil),spotify:track:1tmmhr7UpyHDNq4e4tVJGb
Manna Dey,Shree 420,Pyar Hua Iqrar Hua,spotify:track:3B3MQlP4NPAxE2HEE2sEsS
Ritt Momney,Put Your Records On,Put Your Records On,spotify:track:6AGOKlMZWLCaEJGnaROtF9
Call,Dhoom,Dharkay Jiya,spotify:track:3csQ8JVWNQ3qrt1OswiPgt
Jax Jones,Tequila,Tequila - Jax Jones & Martin Solveig Present Europa,spotify:track:39WnpwsWrLXpxafV5FwYVh
Faris Shafi,Introduction,Introduction,spotify:track:62NkzAFZKNOe6arO1lSFm0
Glass Animals,Heat Waves,Heat Waves - Slowed,spotify:track:1K2RnVhm3eauKnA8PAcPu1
Ashley Park,Emily in Paris (Soundtrack from the Netflix Series),"Mon Soleil - from ""Emily in Paris"" Soundtrack",spotify:track:1RvUIoskMQiGJKKnJJ96WB
Anuv Jain,Baarishein,Baarishein,spotify:track:5iCY0TXNImK4hyKfcplQsg
Glass Animals,Dreamland,Waterfalls Coming Out Your Mouth,spotify:track:6rg8jKMFjOcjSVDSCH9SHK
Ritviz,Udd Gaye,Udd Gaye - Bacardi House Party Sessions,spotify:track:6wZJsut8fjiWiMPaccRAOX
Regard,Secrets,Secrets - MOTi Remix,spotify:track:2vX1vE1jwuqq29xonWIzvE
Hozier,"Wasteland, Baby!",Shrike,spotify:track:083PU4XnYAOMAGVruma3vb
Foster The People,Sacred Hearts Club,Sit Next to Me,spotify:track:4BdGO1CaObRD4La9l5Zanz
Ritviz,Mimmi,Aaj Na,spotify:track:322TxW77VZdX9gHynK5Xue
Gloria Gaynor,New In Town,I WILL SURVIVE,spotify:track:0x4GSz5C4XZDkNhFswGboC
renforshort,"fuck, i luv my friends","fuck, i luv my friends",spotify:track:4hk4plGoAmg3naYTq8EUul
Imanbek,Goodbye,Goodbye,spotify:track:4crczEC1PpoD8TsDsmoWNI
Meek Mill,Dreams Worth More Than Money,R.I.C.O. (feat. Drake),spotify:track:0Y0TOsE1q11qgbi7c5WZsG
Rupert Holmes,Partners In Crime,Escape (The Pina Colada Song),spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ
Hozier,Hozier (Expanded Edition),Angel of Small Death and the Codeine Scene,spotify:track:6JmSfynzr6E0QllQZNEXEb
Natasha Humera Ejaz,Abhi Abhi,Abhi Abhi,spotify:track:1ecjmjCHS8p1tMJHX10X5B
Dayglow,Fuzzybrain,Can I Call You Tonight?,spotify:track:61OJxhoY3Ix50rYVKo8zRK
Riz Ahmed,Once Kings,Once Kings,spotify:track:7xtVisRXsVnGjNkX4PiEcW
Chelsea Cutler,Your Shirt,Your Shirt,spotify:track:5vtyFzfLkCSJvXEZFjQAa1
NF,Therapy Session,Grindin',spotify:track:3m6HMeFX6GIlGPMBcLEN6t
Louis Armstrong,"Stranger Things: Soundtrack from the Netflix Series, Season 4",Dream a Little Dream of Me,spotify:track:1LqHJtbJ7TLxer59vF25Hc
